Row,r all freqs pre/post linenoise reduction,r 50 hz pre/post linenoise reduction,r 55 hz pre/post linenoise reduction,r 58 hz pre/post linenoise reduction,r 59 hz pre/post linenoise reduction,r 60 hz pre/post linenoise reduction,r 61 hz pre/post linenoise reduction,r 62 hz pre/post linenoise reduction,r 65 hz pre/post linenoise reduction,r 70 hz pre/post linenoise reduction,RMSE post/pre waveleting,MAE post/pre waveleting,SNR post/pre waveleting,PeakSNR post/pre waveleting,r alldata post/pre waveleting,r 2 hz post/pre waveleting,r 5 hz post/pre waveleting,r 8 hz post/pre waveleting,r 12 hz post/pre waveleting,r 20 hz post/pre waveleting,r 30 hz post/pre waveleting,r 45 hz post/pre waveleting,r 70 hz post/pre waveleting
"MOD1022_Y1_a.BDF_czRef_child.set",0.999999997933009,0.999997640827046,0.999989821294888,0.999891975957004,0.994788385949237,0.973193960043196,0.989368739083783,0.999698779634552,0.999949294718331,0.999994212147675,139.436912125665,68.6139498061349,-10.2040004729719,2.81736732490205,0.144213056733073,0.814343195923504,0.808325452054625,0.897543295522404,0.770839591704178,0.798501563217707,0.82096295032046,0.0832532904487647,0.111309871929821
"MOD1025_Y1_a.BDF_czRef_child.set",0.999999991046974,0.99999506076989,0.999977544763996,0.999750907419164,0.987382868205531,0.968593155577312,0.982826929645787,0.999576344630668,0.999948108407229,0.999989922252978,50.0779201736884,37.5351747110932,-3.9184035316193,8.97586127641753,0.552582662949495,0.798321601696062,0.878424441148167,0.91479933479022,0.87278587722705,0.934517706148472,0.936472820345261,0.151329887300088,0.172564628349272
"MOD1051_Y1_a.BDF_czRef_child.set",0.999999941370645,0.999992320884451,0.999963393254195,0.999604509720933,0.978068761402959,0.9571394706656,0.983124611209668,0.999454489585527,0.999920614795098,0.999983510947648,50.5897866251326,31.7054171049785,-4.72545634703908,8.07697699475965,0.504971981961982,0.912623375337287,0.94109357222142,0.961387869955303,0.942473701860283,0.90647640358978,0.905260779683239,0.185725935287335,0.182018732678354
"MOD1054_Y1_a.BDF_czRef_child.set",0.999999994439864,0.999998197344925,0.999992081559811,0.999903787026339,0.995616359694957,0.989043840960667,0.994642805394654,0.999820891497907,0.999972127771403,0.999996134600658,43.6226721803014,26.4690009049084,-3.32332442963234,9.90681247122941,0.428278104275717,0.945639730604187,0.962454417314678,0.979023278060554,0.945983520315456,0.915388011372149,0.888983949438156,0.239375470833474,0.264229953480222
"MOD1058_Y1_a.BDF_czRef_child.set",0.999999991628739,0.999996632102944,0.999985409704483,0.999846055940736,0.991005348350796,0.970083515444381,0.985578856779504,0.999700040630872,0.999959520149838,0.999992860486479,245.66285212067,72.5658156349614,-17.6771446100637,-5.06971325348755,0.130774651269021,0.564615050198362,0.863102095234019,0.818441266215463,0.771537973562728,0.8488207435219,0.878608828919666,0.02621920241833,0.0176089476006088
"MOD1085_Y1_a.BDF_czRef_child.set",0.999996492183993,0.999982586642469,0.999925807042348,0.999435209060914,0.9847144404997,0.938847476938895,0.985952225258546,0.999319414995897,0.999867205517468,0.999967602456944,45.3881274595908,32.9116768664481,-3.51596702113624,9.6966994252925,0.52571625188898,0.955892220616506,0.958938221671883,0.982889643747802,0.960225064535346,0.955271339699284,0.949998104404824,0.185753139101248,0.219338798222537
"MOD1118_Y1_a.BDF_czRef_child.set",0.999999967489219,0.999995636718034,0.999980967899387,0.999790730535232,0.986699052226238,0.964112863155161,0.983546656724523,0.999648628177771,0.999952230049452,0.999991073411487,343.000822447229,62.6959178264202,-23.319002255078,-10.8242874743481,0.0746587172349519,0.628432790469819,0.559543389751587,0.828002161881235,0.532327704518503,0.724998706193742,0.817999472951318,0.0888577534120824,0.061226798028207
"MOD1126_Y1_a.BDF_czRef_child.set",0.999983508652983,0.999985437829001,0.999941719017616,0.999360527946905,0.977643176283537,0.917746984757471,0.980134819906676,0.999302770344771,0.999872819630861,0.999961461061088,94.6605055599704,57.5861325801511,-9.02211434828587,3.48393293277525,0.277666007675204,0.897080891964528,0.923488436007594,0.950886872422427,0.91748272385494,0.922624912714388,0.933146210454468,0.0982716959598951,0.112015166034345
"MOD1131_Y1_a.BDF_czRef_child.set",0.99999999344747,0.999995918576196,0.999981381767795,0.99981527941832,0.993682401090757,0.978711239699163,0.983692910126017,0.999562178646406,0.999952195601777,0.99999199667042,82.4651189471074,59.42052940775,-6.11208706795626,6.42167424990306,0.393854394605016,0.842921449165934,0.915956275146548,0.970669566502262,0.939591667222809,0.939024745460709,0.943608998387459,0.0993126850545809,0.136508569306079
"MOD1135_Y1_a.BDF_czRef_child.set",0.999999658747767,0.999984159677772,0.999950080508377,0.999624743290888,0.988894263632395,0.92933816392656,0.983492335122026,0.999192732870105,0.999829806481531,0.999970272986655,54.6667396906125,30.2059452334847,-5.40385134731981,7.8361331717284,0.425260655988664,0.823320068142172,0.928533782839962,0.907722159851566,0.868536918866135,0.934265922219786,0.925681225974342,0.158926366721131,0.195535720611992
