MODID,disadv_prenatal,disadv_y1,disadv_y2,disadv_y3
MOD1022,0.618,-0.95,0.491,0.587
MOD1025,0.359,-0.85,0.458,0.774
MOD1039,1.039,0.679,0.496,1.16
MOD1042,-0.032,0.688,,
MOD1051,0.325,0.176,0.702,0.73
MOD1054,0.772,0.663,0.727,0.729
MOD1058,1.159,0.813,1.186,1.163
MOD1074,1.176,1.145,1.18,1.111
MOD1085,0.047,0.282,-0.265,-0.231
MOD1088,0.386,,0.101,
MOD1096,0.506,0.336,1.088,0.826
MOD1098,0.924,0.655,0.775,0.746
MOD1104,0.545,-0.141,0.131,-0.167
MOD1116,0.466,,0.602,
MOD1118,0.495,0.473,0.565,0.579
MOD1121,1.082,0.849,0.756,0.607
MOD1126,1.503,0.584,0.633,-0.228
MOD1127,0.963,,,
MOD1131,0.078,0.686,0.129,0.122
MOD1135,0.823,0.765,0.812,0.808
MOD1136,0.598,0.184,0.199,0.171
MOD1143,0.145,0.156,-0.227,
MOD1146,0.967,0.992,1.045,0.84
MOD1147,0.618,0.788,0.418,0.409
MOD1163,0.446,-0.602,0.411,-0.753
MOD1164,0.961,0.822,1.104,0.288
MOD1168,0.715,-0.256,-0.254,
MOD1180,0.174,,-0.417,
MOD1181,0.739,0.683,0.903,1.02
MOD1184,0.846,0.492,0.542,0.369
MOD1186,0.595,0.776,0.182,1.077
MOD1188,0.183,-0.05,-0.541,-0.433
MOD1190,0.394,0.545,0.605,0.458
MOD1192,0.235,0.423,0.598,0.687
MOD1195,0.692,0.366,0.387,0.558
MOD1206,0.979,,,
MOD1209,0.859,0.815,0.931,0.686
MOD1217,0.724,0.9,0.753,0.642
MOD1218,1.035,0.826,1.003,-0.473
MOD1220,0.545,0.854,0.927,0.93
MOD1239,1.195,1.423,1.409,
MOD1252,0.56,0.084,-0.411,0.529
MOD1256,1.224,1.16,1.118,1.06
MOD1260,0.585,,,
MOD1262,0.967,0.501,0.594,0.801
MOD1266,0.752,0.618,0.595,0.842
MOD1277,0.99,0.595,0.66,0.642
MOD1281,0.769,0.806,0.925,0.749
MOD1283,0.386,0.567,0.62,0.6
MOD1287,0.768,0.163,0.887,-0.33
MOD1291,0.532,0.724,0.987,0.802
MOD1293,1.018,0.888,0.893,0.761
MOD1295,0.539,0.313,0.367,0.524
MOD1296,0.813,0.517,0.603,
MOD1300,0.693,-0.111,-0.092,
MOD1302,1.283,1.195,1.198,0.829
MOD1306,0.719,0.537,0.156,0.593
MOD1310,0.588,1.095,1.276,1.254
MOD1311,0.851,0.786,1.013,0.867
MOD1312,0.601,0.262,-0.514,0.766
MOD1315,0.702,0.779,0.87,
MOD1316,0.389,-0.009,-0.029,-0.012
MOD1318,0.629,0.472,,
MOD1319,0.651,0.294,0.349,0.327
MOD1321,-0.68,-0.974,-0.988,-0.977
MOD1325,0.627,0.632,0.802,
MOD1328,0.55,-0.267,0.365,-0.114
MOD1337,0.582,-0.359,0.379,0.709
MOD1338,0.723,0.7,1.023,
MOD1347,1.047,1.094,1.047,1.233
MOD1351,0.296,-0.239,-0.156,-0.281
MOD1357,0.277,0.536,0.157,
MOD1359,0.739,,,
MOD1366,0.413,0.419,0.398,0.478
MOD1370,0.629,0.595,0.727,
MOD1378,0.796,,,
MOD1380,0.777,0.577,0.787,0.839
MOD1381,0.918,0.957,0.84,
MOD1384,0.87,0.908,1.041,0.766
MOD1387,0.705,0.944,0.013,
MOD1388,-0.096,0.017,0.307,-0.03
MOD1389,1.204,1.038,0.912,1.145
MOD1390,-0.043,-0.031,0.034,0.057
MOD1391,0.48,0.62,0.666,0.846
MOD1394,0.503,0.837,0.875,0.182
MOD1395,0.245,-0.414,-0.372,-0.652
MOD1397,0.907,0.86,,
MOD1405,1.33,1.632,1.577,1.333
MOD1414,0.287,0.638,0.509,0.312
MOD1415,0.602,,,
MOD1416,0.362,-0.022,0.151,0.684
MOD1420,0.862,0.832,0.817,0.797
MOD1421,0.657,0.581,0.734,0.718
MOD1424,0.622,0.03,-0.315,0.133
MOD1426,0.319,0.778,0.923,1.001
MOD1433,0.616,0.731,0.602,
MOD1448,0.86,1.533,1.673,1.4
MOD1455,0.456,0.143,-0.179,-0.215
MOD1458,-0.032,-0.092,-0.113,0.018
MOD1467,0.788,,,
MOD1468,0.961,1.325,0.99,1.167
MOD1469,0.385,0.771,1.005,0.659
MOD1470,0.545,0.289,0.388,0.392
MOD1475,0.62,0.876,0.727,0.616
MOD1481,-0.016,-0.054,-0.091,-0.317
MOD1482,0.474,0.33,0.769,0.891
MOD1483,0.721,0.645,0.965,-0.128
MOD1484,1.214,1.178,1.331,1.055
MOD1493,-0.957,-1.085,-0.999,-0.662
MOD1502,0.809,0.527,,
MOD1503,0.964,1.324,1.427,
MOD1504,0.648,0.538,0.793,0.878
MOD1506,0.95,,,
MOD1507,0.895,0.944,0.843,0.823
MOD1508,1.041,0.908,0.96,
MOD1511,0.596,,,
MOD1516,0.764,0.801,0.805,0.743
MOD1517,0.856,0.246,,
MOD1518,1.552,1.481,1.039,1.367
MOD1522,0.955,1.001,1.433,0.577
MOD1530,-0.236,0.348,,
MOD1531,0.71,0.604,,
MOD1532,1.217,1.422,1.504,
MOD1533,0.38,-0.286,-0.238,0.542
MOD1534,-0.526,0.018,-0.069,-0.264
MOD1545,0.953,1.022,1.13,1.155
MOD1550,1.019,1.524,1.372,1.465
MOD1554,0.224,-0.353,-0.287,
MOD1556,0.488,0.815,0.828,1.161
MOD1558,0.69,0.7,0.829,0.148
MOD1564,0.478,0.246,0.841,
MOD1567,0.98,0.925,0.275,0.999
MOD1569,0.572,0.893,0.326,0.98
MOD1573,0.682,,,
MOD1575,-0.292,0.026,0.709,
MOD1576,0.798,0.974,0.451,1.026
MOD1578,0.475,0.774,0.855,0.842
MOD1581,0.673,0.833,0.603,0.811
MOD1584,0.68,0.611,,0.145
MOD1587,0.556,0.345,0.426,0.867
MOD1592,0.675,0.704,1.165,0.941
MOD1597,0.504,0.853,0.752,0.84
MOD1598,0.863,0.828,,
MOD1600,0.169,0.012,0.735,-0.244
MOD1604,0.962,0.927,,
MOD1609,0.006,0.062,-0.266,-0.203
MOD1612,0.652,1.006,1.087,1.105
MOD1614,1.248,,,
MOD1616,0.735,0.622,0.587,-1.03
MOD1617,0.259,,,
MOD1619,1.087,1.15,0.825,-0.073
MOD1621,0.899,1.125,1.117,1.058
MOD1623,-0.125,0.393,-0.006,0.289
MOD1627,0.62,0.244,0.346,0.085
MOD1630,0.895,0.805,0.119,0.275
MOD1633,0.589,0.967,1.016,1.052
MOD1635,0.605,0.645,0.458,0.495
MOD1636,0.678,0.739,,
MOD1640,0.753,0.841,0.466,1.024
MOD1649,0.536,0.272,0.579,0.821
MOD1651,-0.538,-1.03,,
MOD1652,0.767,,,
MOD1654,0.314,0.63,0.692,0.715
MOD1656,0.379,-0.106,0.474,0.465
MOD1657,1.119,0.732,0.904,0.933
MOD1659,0.63,0.886,1.066,1.089
MOD1669,0.842,0.593,0.864,0.893
MOD1673,0.663,0.91,0.228,1.086
MOD1675,0.047,-0.58,-0.313,-0.519
MOD1676,0.733,0.701,0.218,0.813
MOD1677,0.471,0.554,0.688,
MOD1678,1.25,1.081,1.201,1.308
MOD1679,0.592,0.981,1.267,1.141
MOD1689,-0.888,-0.719,-0.687,-0.849
MOD1692,1.126,0.772,,1.114
MOD1694,1.119,0.036,0.929,0.749
MOD1697,1.165,0.779,0.388,1.463
MOD1699,0.704,0.509,0.808,0.755
MOD1700,1.131,0.944,0.982,0.787
MOD1701,0.138,0.156,0.133,0.588
MOD1707,0.488,0.775,0.839,0.857
MOD1711,0.727,0.934,-0.755,0.638
MOD1712,-0.499,-0.268,,
MOD1713,0.544,0.606,,
MOD1714,0.548,0.603,0.847,0.649
MOD1720,0.73,0.266,0.68,
MOD1723,0.695,1.076,0.744,0.865
